No,Nama Material,Kode Normalisasi,Satuan,Stok
78,CUT OUT ACC;FUSE LINK 20kV 10A,3200002,BH,481
79,CUT OUT ACC;FUSE LINK 20kV 12A,3200003,BH,350
80,CUT OUT ACC;FUSE LINK 20kV 15A,3200004,BH,355
81,CUT OUT ACC;FUSE LINK 20kV 20A,3200005,BH,253
82,CUT OUT ACC;FUSE LINK 20kV 25A,3200007,BH,265
83,CUT OUT ACC;FUSE LINK 20kV 2A,3200008,BH,654
84,CUT OUT ACC;FUSE LINK 20kV 3A,3200010,BH,1119
85,CUT OUT ACC;FUSE LINK 20kV 5A,3200018,BH,496
86,CUT OUT ACC;FUSE LINK 20kV 6A,3200015,BH,1489
87,CUT OUT ACC;FUSE LINK 20kV 8A,3200017,BH,323
88,CUT OUT;20kV;6-100A;10kA;125kV,3190002,BH,2
89,DS;K;20kV;3P;630A;;;OD,2030022,BH,0
90,FUSE;380/220V;100A;SQUARE;1,2240024,BH,300
91,FUSE;380/220V;125A;SQUARE;1,2240029,BH,590
92,FUSE;380/220V;160A;SQUARE;1,2240035,BH,600
93,FUSE;380/220V;200A;SQUARE;1,2240038,BH,410
94,FUSE;380/220V;250A;SQUARE;1,2240044,BH,420
95,FUSE;380/220V;300A;SQUARE;2,2240048,BH,350
96,FUSE;380/220V;355A;SQUARE;2,2240050,BH,0
97,FUSE;380/220V;400A;SQUARE;2,2240055,BH,310
98,FUSE;380/220V;63A;SQUARE;1,2240067,BH,270
99,FUSE;380/220V;80A;SQUARE;1,2240072,BH,270
100,ISOLATOR ACC;STRAIN CLAMP 70-150MM2,3080015,BH,95
101,ISOLATOR;PINPOST;PORC;24KV;;12.5kN,3070151,BH,0
102,ISOLATOR;STRAIN KAP PIN;PORC;24KV;;70kN,3070160,BH,1
103,ISOLATOR;SUSP;POLYMER;24KV;;70kN,3070154,BH,0
104,LA;20-24kV;K;10kA;POLYMER;;,2090032,BH,204
105,LVSB;DIST;3P;400V;250A;2LINE;OD,3260161,BH,15
106,LVSB;DIST;3P;400V;400A;4LINE;OD,3260238,BH,44
107,MCB;230/400V;1P;10A;50Hz;,3250052,BH,1550
108,MCB;230/400V;1P;16A;50Hz;,3250054,BH,419
109,MCB;230/400V;1P;20A;50Hz;,3250056,BH,48
110,MCB;230/400V;1P;25A;50Hz;,3250058,BH,5
111,MCB;230/400V;1P;2A;50Hz;,3250046,BH,265
112,MCB;230/400V;1P;35A;50Hz;,3250059,BH,533
113,MCB;230/400V;1P;4A;50Hz;,3250048,BH,1736
114,MCB;230/400V;1P;50A;50Hz;,3250060,BH,80
115,MCB;230/400V;1P;6A;50Hz;,3250050,BH,4728
116,MCB;230/400V;3P;10A;50Hz;,3250097,BH,171
117,MCB;230/400V;3P;16A;50Hz;,3250099,BH,150
118,MCB;230/400V;3P;20A;50Hz;,3250100,BH,317
119,MCB;230/400V;3P;25A;50Hz;,3250102,BH,173
120,MCB;230/400V;3P;35A;50Hz;,3250103,BH,188
121,MCB;230/400V;3P;63A;50HZ;MCCB+SHUNTTRIP,3250292,BH,0
122,MCB;230/415V;3P;100A;50Hz;MCCB+SHUNTTRIP,3250301,BH,27
123,MCB;230/415V;3P;125A;50Hz;MCCB+SHUNTTRIP,3250302,BH,28
124,MCB;230/415V;3P;160A;50Hz;MCCB+SHUNTTRIP,3250303,BH,26
125,MCB;230/415V;3P;200A;50Hz;MCCB+SHUNTTRIP,3250296,BH,2
126,MCB;230/415V;3P;225A;50Hz;MCCB+SHUNTTRIP,3250297,BH,6
127,MCB;230/415V;3P;250A;50Hz;MCCB+SHUNTTRIP,3250298,BH,6
128,MCB;230/415V;3P;300A;50Hz;MCCB+SHUNTTRIP,3250299,BH,16
129,MCB;380/440V;3P;50A;50Hz;,3250029,BH,0
130,MCB;380/440V;3P;63A;50Hz;MCCB,3250032,BH,4
131,MTR ACC;MODEM 4G LTE,2200125,BH,0
132,MTR ACC;SEGEL PUTAR PLASTIC,2200016,BH,14444
133,MTR;kWH E-PR;;1P;230V;5-60A;1;;2W,2190224,BH,204
134,MTR;kWH E-PR;;3P;230/400V;5-80A;1;;4W,2190252,BH,618
135,MTR;kWH E;;1P;230V;5-60A;1;;2W,2190502,BH,455
136,MTR;kWH E;;3P;230/400V;5-80A;1;;4W,2190218,BH,620
137,MTR;kWHE;;3P;57.7/100V-230/400;5A;0.5;4W,2190438,BH,69
138,POLE ACC;CONNECTION CLAMP NETRAL 35MM2,3040883,BH,0
139,POLE ACC;CR ARM A1 UNP100X50X5X2000mm GA (TUMPU),3040325,BH,0
140,POLE ACC;CR ARM A3 UNP100X50X5X2000mm GA (TARIK),3040327,BH,0
141,POLE ACC;CR ARM UNP100X50X5X2500mm GALV,3040246,BH,187
142,POLE ACC;CR ARM UNP100X50X5X3000mm GALV,3040247,BH,19
143,STRINGSET ACC;STRAIN CLAMP 150-240 mm2,3100061,BH,1965
144,TANG INGGRIS 20026-08,202608,PACK,0
145,TRF ACC;DUDUKAN TRFCANTOL-PIPA KBL-LA-CO,1060798,BH,0
146,TRF ACC;DUDUKAN TRFPORTAL-PIPA KBL-LA-CO,1060799,BH,0
147,TRF DIS;D3;20kV/400V;3P;100kVA;YZN5;OD,1030074,BH,0
148,TRF DIS;D3;20kV/400V;3P;160kVA;YZN5;OD,1030075,BH,3
149,TRF DIS;D3;20kV/400V;3P;250kVA;DYN5;OD,1030077,BH,3
150,UNIV ACC;COVER ARRESTER,4190647,BH,1
151,UNIV ACC;COVER BUSHING TRAFO,4190646,BH,21
